NUTS2_CODE;COUNTRY_NAME;COUNTRY;NOV2015;MAY2016;NOV2016;MAY2017;NOV2017;MEAN_ACCEPTANCE
DEA4;DEUTSCHLAND WEST;5;,765335709;,79454424;,796852619;,798001527;,804740624;,7918949438
DEA5;DEUTSCHLAND WEST;5;,759486598;,792440272;,791005678;,814294581;,807300884;,7929056026
DEB1;DEUTSCHLAND WEST;5;,764952702;,793783965;,795580627;,797061538;,804707841;,7912173346
DEB2;DEUTSCHLAND WEST;5;,772059575;,775011585;,793537278;,793103118;,79727662;,7861976352
DEB3;DEUTSCHLAND WEST;5;,765170092;,794593141;,79694878;,797981215;,805874672;,79211358
DEC0;DEUTSCHLAND WEST;5;,75882711;,793311605;,791508088;,813690839;,807508499;,7929692282
DED2;DEUTSCHLAND OST;6;,750398515;,707081667;,774589451;,747543501;,732753811;,742473389
DED4;DEUTSCHLAND OST;6;,738985914;,712509613;,748112327;,76578186;,740877567;,7412534562
DED5;DEUTSCHLAND OST;6;,751541225;,706521687;,775306377;,746483372;,731488695;,7422682712
DEE0;DEUTSCHLAND OST;6;,73709584;,723094826;,757624962;,762676379;,72832292;,7417629854
DEF0;DEUTSCHLAND WEST;5;,76554561;,794832477;,796133842;,797733649;,805626609;,7919744374
DEG0;DEUTSCHLAND OST;6;,739168271;,726589112;,759530336;,763807555;,727284583;,7432759714
EE00;EESTI;7;,519796576;,507796205;,572489281;,5091136;,465595772;,5149582868
IE01;IRELAND;8;,75454915;,71619341;,768291458;,797927151;,760210773;,7594343884
IE02;IRELAND;8;,75823581;,748173864;,765761631;,79894738;,767470949;,7677179268
EL51;ELLADA;9;,778573483;,678351838;,678115971;,693580423;,672018673;,7001280776
EL52;ELLADA;9;,758910436;,682517009;,701217663;,758871471;,690809838;,7184652834
EL53;ELLADA;9;,781231638;,683137843;,679879435;,695706897;,673683348;,7027278322
EL61;ELLADA;9;,780096242;,684335548;,680385514;,695564379;,674330512;,702942439
EL54;ELLADA;9;,780624558;,681472648;,681845262;,697874515;,675665928;,7034965822
EL62;ELLADA;9;,781352444;,684230624;,683160444;,698170723;,672012353;,7037853176
EL63;ELLADA;9;,780997358;,683757678;,677675209;,693648733;,672318428;,7016794812
EL64;ELLADA;9;,780662072;,683149648;,679064601;,696217239;,673447487;,7025082094
EL65;ELLADA;9;,781272291;,686397264;,683772698;,697901315;,673878485;,7046444106
EL30;ELLADA;9;,783043218;,708074066;,730190788;,764264055;,71420276;,7399549774
EL41;ELLADA;9;,782186809;,685344687;,685042951;,70035312;,675854721;,7057564576
EL42;ELLADA;9;,781325449;,689899201;,685656983;,698393888;,670127122;,7050805286
EL43;ELLADA;9;,757813445;,683050991;,700697654;,75588363;,692892033;,7180675506
ES11;ESPAÑA;10;,791522867;,764142967;,78725625;,799963095;,771664827;,7829100012
ES12;ESPAÑA;10;,791882736;,768727936;,786411444;,802603323;,776426365;,7852103608
ES13;ESPAÑA;10;,794943018;,766609993;,787430877;,800263693;,777531917;,7853558996
ES21;ESPAÑA;10;,780701192;,776557188;,792232616;,810529792;,766666799;,7853375174
ES22;ESPAÑA;10;,796572075;,76622813;,788434073;,799764038;,778520412;,7859037456
ES23;ESPAÑA;10;,794460762;,766392126;,787786073;,800161885;,774711288;,7847024268
ES24;ESPAÑA;10;,779267261;,773255971;,79197652;,808700915;,763057428;,783251619
ES30;ESPAÑA;10;,778226795;,775295184;,793044701;,810756949;,765751768;,7846150794
ES41;ESPAÑA;10;,79228788;,767531429;,786512681;,800782409;,77524261;,7844714018
ES42;ESPAÑA;10;,765048353;,755441817;,786411924;,79055266;,752572248;,7700054004
ES43;ESPAÑA;10;,761621505;,75481769;,78427818;,788977734;,750969048;,7681328314
ES51;ESPAÑA;10;,779230424;,77301827;,791500345;,807459814;,759527968;,7821473642
ES52;ESPAÑA;10;,778448054;,771372237;,791229495;,806187421;,76022759;,7814929594
ES53;ESPAÑA;10;,794789682;,762898964;,788382443;,79830936;,770617938;,7829996774
ES61;ESPAÑA;10;,775542243;,767349162;,789308711;,801796202;,753752275;,7775497186
ES62;ESPAÑA;10;,79338024;,758314958;,788691269;,796538609;,764908953;,7803668058
ES63;ESPAÑA;10;,773466676;,765178145;,788325754;,800056765;,752613851;,7759282382
ES64;ESPAÑA;10;,772053204;,762322493;,788351942;,799607876;,749788381;,7744247792
ES70;ESPAÑA;10;,77720986;,769329007;,789051155;,80470694;,757022522;,7794638968
FR10;FRANCE;11;,699241521;,66362965;,664191056;,70815324;,713599823;,689763058
FR21;FRANCE;11;,634915656;,601415525;,631298796;,634676312;,658825025;,6322262628
FR22;FRANCE;11;,634616405;,599401528;,631268301;,635789581;,658117852;,6318387334
FR23;FRANCE;11;,676199983;,635363193;,605022347;,685001926;,668890663;,6540956224
FR24;FRANCE;11;,636833307;,602657848;,631423704;,63641674;,659927218;,6334517634
FR25;FRANCE;11;,634934361;,600019538;,629986614;,633924497;,658978774;,6315687568
FR26;FRANCE;11;,636463699;,601497829;,629559744;,635208649;,659606843;,6324673528
FR30;FRANCE;11;,692360307;,652845397;,655515837;,694372837;,703511162;,679721108
FR41;FRANCE;11;,676429265;,639267508;,604285601;,686675699;,669264109;,6551844364
FR42;FRANCE;11;,679396779;,642165256;,608174111;,691121609;,672498037;,6586711584
FR43;FRANCE;11;,635650424;,601839438;,632492441;,63640917;,659477387;,633173772
FR51;FRANCE;11;,67818071;,638684081;,604372685;,68706614;,671455539;,655951831
FR52;FRANCE;11;,63915817;,605224952;,631229458;,638918918;,662521625;,6354106246
FR53;FRANCE;11;,637919914;,603102322;,629440482;,635459071;,660582057;,6333007692
FR61;FRANCE;11;,690971544;,656552227;,652199536;,701793024;,711277203;,6825587068
FR62;FRANCE;11;,678987508;,64318172;,606696408;,692192681;,673813252;,6589743138
FR63;FRANCE;11;,638999427;,604277202;,629449468;,636715127;,661185809;,6341254066
FR71;FRANCE;11;,693654798;,658109053;,656302455;,700985839;,710507389;,6839119068
FR72;FRANCE;11;,637602933;,603241411;,629119805;,637184625;,660339715;,6334976978
FR81;FRANCE;11;,637690439;,605989312;,63326178;,635284192;,661945506;,6348342458
FR82;FRANCE;11;,689997981;,657525151;,651771051;,700988333;,710990842;,6822546716
FR83;FRANCE;11;,638595052;,606167937;,633673068;,636923819;,661044383;,6352808518
HR03;HRVATSKA;12;,711448625;,683950632;,719213844;,703195071;,674534146;,6984684636
HR04;HRVATSKA;12;,683396992;,665083705;,706851332;,686344876;,645504009;,6774361828
ITC1;ITALIA;13;,561648674;,478866915;,495830102;,511441098;,592701602;,5280976782
ITC2;ITALIA;13;,532299321;,506200854;,548454265;,521827202;,580849338;,537926196
ITC3;ITALIA;13;,557100034;,479852101;,502646699;,514125673;,601917255;,5311283524
ITC4;ITALIA;13;,551388822;,486388731;,512121026;,509868667;,604968803;,5329472098
ITF1;ITALIA;13;,524742269;,49988245;,538931487;,504108596;,625044556;,5385418716
ITF2;ITALIA;13;,523224712;,497634357;,535918902;,501665159;,621641752;,5360169764
ITF3;ITALIA;13;,551138769;,486011196;,506679915;,500653526;,599596562;,5288159936
ITF4;ITALIA;13;,529768623;,501820448;,541032454;,513371292;,568299978;,530858559
ITF5;ITALIA;13;,520576714;,496133877;,53418559;,499303417;,620721079;,5341841354
ITF6;ITALIA;13;,517575988;,501550556;,535504912;,504686928;,63507984;,5388796448
ITG1;ITALIA;13;,550685548;,478659197;,499453443;,501106267;,597558612;,5254926134
ITG2;ITALIA;13;,520351049;,492492472;,533830036;,501262304;,62306128;,5341994282
ITH1;ITALIA;13;,524704674;,497346636;,542825359;,511281207;,633554344;,541942444
ITH2;ITALIA;13;,535648125;,510264923;,554385952;,52396757;,580336132;,5409205404
ITH3;ITALIA;13;,53400714;,509276084;,550476858;,521212338;,575035399;,5380015638
ITH4;ITALIA;13;,535415845;,510080599;,549686764;,523970197;,583714204;,5405735218
ITH5;ITALIA;13;,533929607;,510471867;,549951162;,525073956;,579849815;,5398552814
ITI1;ITALIA;13;,534938824;,509368932;,547708484;,523105036;,57872269;,5387687932
ITI2;ITALIA;13;,535041293;,511025723;,54972618;,523480469;,578625614;,5395798558
ITI3;ITALIA;13;,523504816;,501206361;,536455349;,506907732;,626013045;,5388174606
ITI4;ITALIA;13;,555551957;,4857466;,51109266;,514174386;,606962931;,5347057068
CY00;KYPROS;14;,766884297;,722002199;,74276585;,785602932;,749953648;,7534417852
LV00;LATVIJA;15;,516168269;,497694093;,478367481;,467879428;,505516271;,4931251084
LT00;LIETUVA;16;,658715405;,522726087;,633716363;,639796659;,586746315;,6083401658
LU00;LUXEMBOURG;17;,741149291;,72359014;,77255664;,77774021;,72844878;,7486970122
HU10;MAGYARORSZAG;18;,362552855;,408597516;,362489901;,351866949;,376084479;,37231834
HU21;MAGYARORSZAG;18;,371681373;,335837538;,315881015;,323310285;,336615343;,3366651108
HU22;MAGYARORSZAG;18;,373337849;,336497342;,3168442;,322246927;,337791919;,3373436474
HU23;MAGYARORSZAG;18;,36918511;,338407135;,31521145;,32074547;,336109595;,335931752
HU31;MAGYARORSZAG;18;,368439163;,338428308;,314801375;,31971097;,334954121;,3352667874
HU32;MAGYARORSZAG;18;,369306191;,334327626;,31413344;,318206032;,332358324;,3336663226
HU33;MAGYARORSZAG;18;,367755064;,338320468;,316531885;,322235336;,337042396;,3363770298
MT00;MALTA;19;,725696991;,708791558;,767162139;,775664156;,718789089;,7392207866
NL11;NEDERLAND;20;,789664593;,75220976;,787042987;,781474865;,76805455;,775689351
NL12;NEDERLAND;20;,788197483;,752448575;,788219979;,77867016;,768127575;,7751327544
NL13;NEDERLAND;20;,78670155;,752180587;,789214067;,776925033;,767267238;,774457695
NL21;NEDERLAND;20;,787476927;,772290334;,767394997;,785220542;,783146894;,7791059388
NL22;NEDERLAND;20;,787806594;,772124774;,768529568;,786528064;,782468043;,7794914086
NL23;NEDERLAND;20;,784873895;,770830813;,763890064;,783106926;,782228145;,7769859686
NL31;NEDERLAND;20;,787246113;,776356908;,77152048;,787977741;,782980557;,7812163598
NL32;NEDERLAND;20;,786468846;,774732395;,77208162;,78886849;,784188093;,7812678888
NL33;NEDERLAND;20;,786354106;,772329715;,770517936;,786882977;,783006945;,7798183358
NL34;NEDERLAND;20;,787585762;,753502459;,789142908;,777780847;,767496011;,7751015974
NL41;NEDERLAND;20;,787871653;,772133078;,768196821;,787223456;,783457926;,7797765868
NL42;NEDERLAND;20;,788775978;,769952838;,769952319;,787688613;,782974556;,7798688608
AT11;ÖSTERREICH;21;,660006964;,621436451;,650725947;,692091328;,680997256;,6610515892
AT12;ÖSTERREICH;21;,683990064;,683740041;,654979482;,706651587;,750090856;,695890406
AT13;ÖSTERREICH;21;,741154437;,682131983;,719882771;,691251311;,711356017;,7091553038
AT21;ÖSTERREICH;21;,659681178;,621717095;,652599236;,692034874;,680940154;,6613945074
AT22;ÖSTERREICH;21;,6581979;,619931927;,652637487;,691356865;,683241805;,6610731968
AT31;ÖSTERREICH;21;,656395869;,619082288;,651610362;,690834758;,684610112;,6605066778
AT32;ÖSTERREICH;21;,658024757;,618261987;,654412326;,692387143;,687969149;,6622110724
AT33;ÖSTERREICH;21;,683062547;,690319158;,660169445;,714327514;,750827791;,699741291
AT34;ÖSTERREICH;21;,732466511;,676993046;,713725644;,683820051;,711387943;,703678639
PL11;POLSKA;22;,679932262;,655848735;,629031247;,673644085;,651911389;,6580735436
PL12;POLSKA;22;,669488187;,652230119;,629691863;,679326092;,663723863;,6588920248
PL21;POLSKA;22;,672842142;,674103615;,675399746;,642624916;,642582784;,6615106406
PL22;POLSKA;22;,672274407;,676065368;,674291007;,644998152;,641368037;,6617993942
PL31;POLSKA;22;,671032858;,601142852;,621962399;,649006282;,674281277;,6434851336
PL32;POLSKA;22;,671889872;,600514351;,618890151;,646234012;,675165889;,642538855
PL33;POLSKA;22;,672503523;,600769837;,620854414;,65116934;,675149763;,6440893754
PL34;POLSKA;22;,671125847;,59844192;,61982707;,647587018;,672874016;,6419711742
PL41;POLSKA;22;,673556409;,600076359;,619285844;,650146775;,675932548;,643799587
PL42;POLSKA;22;,682944058;,656991751;,628838126;,674732447;,655798466;,6598609696
PL43;POLSKA;22;,679636203;,655698852;,629485788;,671496855;,652884197;,657840379
PL51;POLSKA;22;,67231826;,67460014;,672647055;,64543486;,641097049;,6612194728
PL52;POLSKA;22;,671990682;,600376162;,622117623;,652630395;,674651128;,644353198
PL61;POLSKA;22;,679851657;,656475167;,627569043;,669579412;,651121355;,6569193268
PL62;POLSKA;22;,669945139;,597081187;,620432294;,646566354;,671877738;,6411805424
PL63;POLSKA;22;,680744839;,656033057;,627521431;,672154518;,653850133;,6580607956
PT11;PORTUGAL;23;,726296706;,709692556;,758043834;,752203077;,66996114;,7232394626
PT15;PORTUGAL;23;,653180656;,679432473;,72152062;,743040861;,695183518;,6984716256
PT16;PORTUGAL;23;,652081283;,678671928;,720706632;,739293837;,693199209;,6967905778
PT17;PORTUGAL;23;,727897616;,731777156;,773931857;,767575237;,698971986;,7400307704
PT18;PORTUGAL;23;,653304962;,677601162;,720716641;,739028219;,69409698;,6969495928
PT20;PORTUGAL;23;,725087837;,705791298;,756927699;,747736012;,666719945;,7204525582
PT30;PORTUGAL;23;,723065714;,727159098;,769425346;,763968624;,687760396;,7342758356
RO11;ROMANIA;24;,663837144;,452257501;,490674153;,483049704;,487344326;,5154325656
RO12;ROMANIA;24;,665023695;,453186708;,490299826;,484149081;,488077586;,5161473792
RO21;ROMANIA;24;,660451917;,451079824;,490277498;,48306878;,48628845;,5142332938
RO22;ROMANIA;24;,662215213;,452914909;,490424578;,481679107;,487205379;,5148878372
RO31;ROMANIA;24;,659938039;,453788902;,49090311;,481202858;,486778394;,5145222606
RO32;ROMANIA;24;,629478025;,461589522;,447010902;,49149392;,496617678;,5052380094
RO41;ROMANIA;24;,660912619;,45469824;,491903592;,482511964;,48833502;,515672287
RO42;ROMANIA;24;,663765778;,45253986;,491751244;,485174621;,488420658;,5163304322
SI03;SLOVENIJA;25;,605756813;,634680911;,631428357;,572541655;,668659883;,6226135238
SI04;SLOVENIJA;25;,611173788;,642780511;,644491105;,611499689;,621705316;,6263300818
SK01;SLOVENSKO;26;,683792744;,686074875;,642602184;,609177931;,658094189;,6559483846
SK02;SLOVENSKO;26;,480242197;,455852356;,42332189;,430466412;,4601092;,449998411
SK03;SLOVENSKO;26;,482000407;,455077914;,42498558;,429050529;,45938634;,450100154
SK04;SLOVENSKO;26;,47933099;,453202529;,421619572;,429209825;,458704777;,4484135386
FI19;SUOMI;27;,695023725;,68591465;,706293413;,707590745;,691846652;,697333837
FI1B;SUOMI;27;,684010276;,690617256;,705298019;,715822179;,713168146;,7017831752
FI1C;SUOMI;27;,731356176;,701107273;,701838475;,717847196;,72729449;,715888722
FI1D;SUOMI;27;,695687433;,684817184;,706359778;,707761888;,690688199;,6970628964
FI20;SUOMI;27;,694079893;,688687837;,70854017;,704303825;,692629822;,6976483094
SE11;SVERIGE;28;,806739756;,777335156;,798775008;,806937404;,838179441;,805593353
SE12;SVERIGE;28;,798221999;,79875557;,793371135;,809853543;,862470783;,812534606
SE21;SVERIGE;28;,790379107;,772755977;,778376962;,79195805;,836624726;,7940189644
SE22;SVERIGE;28;,799244537;,798708834;,79289756;,809999877;,862512284;,8126726184
SE23;SVERIGE;28;,799362242;,798461334;,793874062;,80983262;,862745319;,8128551154
SE31;SVERIGE;28;,787493998;,773047451;,779887515;,791936182;,835192297;,7935114886
SE32;SVERIGE;28;,789049664;,773426999;,779898813;,793394236;,836862159;,7945263742
SE33;SVERIGE;28;,790697283;,773909717;,781376623;,794994075;,838464558;,7958884512
UKC1;GREAT BRITAIN;29;,772181563;,726690729;,785465374;,763622375;,756584162;,7609088406
UKC2;GREAT BRITAIN;29;,772199303;,728518067;,786668686;,764833594;,759212151;,7622863602
UKD1;GREAT BRITAIN;29;,7725272;,755096019;,752682095;,789705765;,762850145;,7665722448
UKD3;GREAT BRITAIN;29;,774003158;,727495321;,786841479;,765007924;,7589854;,7624666564
UKD4;GREAT BRITAIN;29;,773098239;,728277692;,787365076;,765757391;,757418975;,7623834746
UKD6;GREAT BRITAIN;29;,774162954;,733222117;,789870384;,767512904;,761104839;,7651746396
UKD7;GREAT BRITAIN;29;,774019289;,726516886;,785854048;,764094575;,758228507;,761742661
UKE1;GREAT BRITAIN;29;,769367367;,75266479;,751717122;,785958532;,762106797;,7643629216
UKE2;GREAT BRITAIN;29;,773947988;,759111583;,753736387;,792121402;,766382127;,7690598974
UKE3;GREAT BRITAIN;29;,772553568;,724570859;,785716787;,764140416;,757925799;,7609814858
UKE4;GREAT BRITAIN;29;,774439269;,728121855;,786563407;,765135404;,75848188;,762548363
UKF1;GREAT BRITAIN;29;,773018649;,728613516;,786486714;,764815204;,758040841;,7621949848
UKF2;GREAT BRITAIN;29;,773901049;,729162305;,788181929;,765198063;,758488012;,7629862716
UKF3;GREAT BRITAIN;29;,770116153;,754063617;,752839349;,787784254;,760978858;,7651564462
UKG1;GREAT BRITAIN;29;,7736982;,758364198;,752586701;,790852038;,767134475;,7685271224
UKG2;GREAT BRITAIN;29;,772691729;,727996805;,786722991;,764570311;,757630663;,7619224998
UKG3;GREAT BRITAIN;29;,774906194;,725326884;,785272324;,763391717;,756902004;,7611598246
UKH1;GREAT BRITAIN;29;,772107807;,757014258;,753163714;,788683009;,765229459;,7672396494
UKH2;GREAT BRITAIN;29;,776559609;,731092181;,79018191;,76725889;,759876094;,7649937368
UKH3;GREAT BRITAIN;29;,773431521;,727728761;,786926705;,764355145;,758084811;,7621053886
UKI3;GREAT BRITAIN;29;,783009371;,740784613;,796032697;,773872586;,76725217;,7721902874
UKI4;GREAT BRITAIN;29;,783009371;,740784613;,796032697;,773872586;,76725217;,7721902874
UKI5;GREAT BRITAIN;29;,779446871;,734476302;,792488937;,768243561;,761719264;,767274987
UKI6;GREAT BRITAIN;29;,779446871;,734476302;,792488937;,768243561;,761719264;,767274987
UKI7;GREAT BRITAIN;29;,779446871;,734476302;,792488937;,768243561;,761719264;,767274987
UKJ1;GREAT BRITAIN;29;,777323893;,733665725;,792063425;,768381104;,760409422;,7663687138
UKJ2;GREAT BRITAIN;29;,775846236;,735636317;,791276657;,768410119;,762287538;,7666913734
UKJ3;GREAT BRITAIN;29;,7751065;,733463516;,789942136;,767197553;,761712292;,7654843994
UKJ4;GREAT BRITAIN;29;,773862291;,729047826;,787848012;,764961489;,758233299;,7627905834
UKK1;GREAT BRITAIN;29;,774665007;,732521735;,789346743;,767228481;,760935032;,7649393996
UKK2;GREAT BRITAIN;29;,773625599;,734358567;,789055846;,766982516;,761593856;,7651232768
UKK3;GREAT BRITAIN;29;,771024313;,756327252;,754390119;,789771048;,763145069;,7669315602
UKK4;GREAT BRITAIN;29;,771804106;,756487241;,753269344;,789513494;,763721821;,7669592012
UKL1;GREAT BRITAIN;29;,769975568;,753858409;,751308641;,786481135;,761730809;,7646709124
UKL2;GREAT BRITAIN;29;,775228821;,73069409;,788559556;,766210608;,760428557;,7642243264
UKM2;GREAT BRITAIN;29;,776179838;,764601497;,75325594;,794786768;,768256934;,7714161954
UKM3;GREAT BRITAIN;29;,776107115;,736212919;,790423558;,769355728;,764586398;,7673371436
UKM5;GREAT BRITAIN;29;,778925319;,766582891;,753730741;,797378891;,770953864;,7735143412
UKM6;GREAT BRITAIN;29;,757847848;,720690005;,756484013;,789525668;,778102251;,760529957
UKN0;GREAT BRITAIN;29;,771623936;,757721322;,752601263;,78486558;,764663247;,7662950696
